"Sample_ID","CXCL13_expression"
"TCGA-FJ-A871-01",1.2965
"TCGA-FT-A3EE-01",22.0607
"TCGA-G2-A2EC-01",29.4991
"TCGA-G2-A2EF-01",130.239
"TCGA-G2-A2EJ-01",71.3296
"TCGA-G2-A2EL-01",59.5966
"TCGA-G2-A2ES-01",272.086
"TCGA-G2-A3IB-01",4.9168
"TCGA-G2-A3IE-01",30.4099
"TCGA-G2-A3VY-01",2.5543
"TCGA-G2-AA3B-01",185.309
"TCGA-G2-AA3C-01",1.2541
"TCGA-G2-AA3D-01",163.666
"TCGA-G2-AA3F-01",0.3975
"TCGA-GC-A3BM-01",130.406
"TCGA-GC-A3I6-01",84.0062
"TCGA-GC-A3OO-01",209.416
"TCGA-GC-A3RB-01",36.5239
"TCGA-GC-A3RC-01",202.905
"TCGA-GC-A3RD-01",3.8911
"TCGA-GC-A3YS-01",21.5356
"TCGA-GC-A4ZW-01",32.5493
"TCGA-GD-A2C5-01",11.5965
"TCGA-GD-A3OP-01",94.0027
"TCGA-GD-A3OQ-01",190.748
"TCGA-GD-A6C6-01",4.7851
"TCGA-GU-A42P-01",1.8999
"TCGA-GU-A42Q-01",20.6101
"TCGA-GU-A42R-01",6.04
"TCGA-GU-A767-01",8.3726
"TCGA-GU-AATO-01",132.972
"TCGA-GU-AATP-01",117.862
"TCGA-GU-AATQ-01",79.0656
"TCGA-GV-A3JV-01",301.592
"TCGA-GV-A3JW-01",1.0274
"TCGA-GV-A3JX-01",174.179
"TCGA-GV-A3JZ-01",38.4766
"TCGA-GV-A3QF-01",0.4767
"TCGA-GV-A3QH-01",4.3743
"TCGA-GV-A3QI-01",3.4538
"TCGA-GV-A3QK-01",300.188
"TCGA-GV-A40E-01",194.924
"TCGA-GV-A40G-01",2.2883
"TCGA-GV-A6ZA-01",206.427
"TCGA-H4-A2HO-01",5.0102
"TCGA-H4-A2HQ-01",18.6959
"TCGA-HQ-A2OE-01",31.647
"TCGA-HQ-A2OF-01",3.6765
"TCGA-HQ-A5ND-01",9.8876
"TCGA-HQ-A5NE-01",41.7743
"TCGA-K4-A4AB-01",282.021
"TCGA-K4-A4AC-01",106.953
"TCGA-K4-A5RI-01",7.2568
"TCGA-K4-A6FZ-01",146.303
"TCGA-K4-A6MB-01",7.1994
"TCGA-KQ-A41N-01",24.4845
"TCGA-KQ-A41O-01",1.2589
"TCGA-KQ-A41P-01",58.1493
"TCGA-KQ-A41Q-01",26.5245
"TCGA-KQ-A41R-01",4.4131
"TCGA-KQ-A41S-01",78.8288
"TCGA-LT-A5Z6-01",263.896
"TCGA-LT-A8JT-01",189.407
"TCGA-MV-A51V-01",32.5953
"TCGA-PQ-A6FI-01",153.399
"TCGA-S5-AA26-01",7.9191
"TCGA-UY-A78L-01",34.6845
"TCGA-UY-A78M-01",8.5755
"TCGA-UY-A78N-01",7.3844
"TCGA-UY-A78O-01",212.278
"TCGA-UY-A8OB-01",269.106
"TCGA-UY-A9PA-01",172.414
"TCGA-UY-A9PD-01",123.215
"TCGA-UY-A9PE-01",105.691
"TCGA-UY-A9PF-01",214.546
"TCGA-XF-A8HB-01",0.6869
"TCGA-XF-A8HC-01",1.1846
"TCGA-XF-A8HF-01",56.7215
