sample_id,CXCL13_expression,CXCL13_status
TCGA-DK-AA6P-01,3.9442,not_enriched
TCGA-DK-AA6Q-01,843.514,enriched
TCGA-DK-AA6R-01,211.756,not_enriched
TCGA-DK-AA6S-01,734.541,enriched
TCGA-DK-AA6T-01,171.875,not_enriched
TCGA-DK-AA6U-01,29.4264,not_enriched
TCGA-DK-AA6W-01,61.4355,not_enriched
TCGA-DK-AA6X-01,333.595,not_enriched
TCGA-DK-AA71-01,62.7329,not_enriched
TCGA-DK-AA74-01,940.163,enriched
TCGA-DK-AA75-01,6.3927,not_enriched
TCGA-DK-AA76-01,1.0534,not_enriched
TCGA-DK-AA77-01,415.429,not_enriched
TCGA-E5-A2PC-01,160.176,not_enriched
TCGA-E5-A4TZ-01,63.0395,not_enriched
TCGA-E5-A4U1-01,0.0,not_enriched
TCGA-E7-A3X6-01,483.721,enriched
TCGA-E7-A3Y1-01,25.1168,not_enriched
TCGA-E7-A4IJ-01,173.246,not_enriched
TCGA-E7-A4XJ-01,0.0,not_enriched
TCGA-E7-A519-01,2.0121,not_enriched
TCGA-E7-A541-01,267.224,not_enriched
TCGA-E7-A5KE-01,0.4219,not_enriched
TCGA-E7-A5KF-01,1.9608,not_enriched
TCGA-E7-A677-01,29.221,not_enriched
TCGA-E7-A678-01,5.2185,not_enriched
TCGA-E7-A6MD-01,860.804,enriched
TCGA-E7-A6ME-01,82.423,not_enriched
TCGA-E7-A6MF-01,25.6025,not_enriched
TCGA-E7-A7DU-01,4.4131,not_enriched
TCGA-E7-A7DV-01,50.9454,not_enriched
TCGA-E7-A7PW-01,51.4762,not_enriched
TCGA-E7-A7XN-01,1140.74,enriched
TCGA-E7-A85H-01,351.043,not_enriched
TCGA-E7-A8O7-01,69.8462,not_enriched
TCGA-E7-A97P-01,652.237,enriched
TCGA-E7-A97Q-01,33.2208,not_enriched
TCGA-FD-A3B3-01,3610.56,enriched
TCGA-FD-A3B4-01,2975.17,enriched
TCGA-FD-A3B5-01,11.0619,not_enriched
TCGA-FD-A3B6-01,854.171,enriched
TCGA-FD-A3B7-01,830.702,enriched
TCGA-FD-A3B8-01,3118.77,enriched
TCGA-FD-A3N5-01,124.741,not_enriched
TCGA-FD-A3N6-01,216.103,not_enriched
TCGA-FD-A3NA-01,95.2223,not_enriched
TCGA-FD-A3SJ-01,298.928,not_enriched
TCGA-FD-A3SL-01,194.833,not_enriched
TCGA-FD-A3SM-01,26.5458,not_enriched
TCGA-FD-A3SN-01,24.4336,not_enriched
TCGA-FD-A3SO-01,293.988,not_enriched
TCGA-FD-A3SP-01,256.896,not_enriched
TCGA-FD-A3SQ-01,328.093,not_enriched
TCGA-FD-A3SR-01,84.2914,not_enriched
TCGA-FD-A3SS-01,15.8076,not_enriched
TCGA-FD-A43N-01,43.8596,not_enriched
TCGA-FD-A43P-01,1611.8,enriched
TCGA-FD-A43S-01,3888.61,enriched
TCGA-FD-A43U-01,385.959,not_enriched
TCGA-FD-A43X-01,1.9616,not_enriched
TCGA-FD-A43Y-01,133.503,not_enriched
TCGA-FD-A5BR-01,1224.24,enriched
TCGA-FD-A5BS-01,2432.13,enriched
TCGA-FD-A5BT-01,921.404,enriched
TCGA-FD-A5BU-01,534.896,enriched
TCGA-FD-A5BV-01,0.0,not_enriched
TCGA-FD-A5BX-01,198.684,not_enriched
